Table Name,Description,Label,Action,Property Key,Property Value
sysECMBatchGlobalSearchTable,全局搜索,basic.common.table.sysECMBatchGlobalSearchTable,,frozen|frozenRight|draggable|canExport|sizeChanger|isRowCheckable|initQuery,2|1|false|false|true|`($origin['HASAUTH'] === true || $origin['HASAUTH']===undefined)`|false
sysDefaultTable,默认表格,basic.common.table.sysDefaultTable,,select,multi
testTable,testTable,basic.common.table.testTable,,,
newTestTable,newTestTable,basic.common.table.newTestTable,,processUrl,/ItemManagement/IItemManagementService/cellSave
sysFabricationProcessTable,制造工序,route.sysFabricationProcessTable.title,,select|fixHeader|noResult|ellipsis|size|canExport|frozen|frozenRight,multi|true|true|true|middle|true|2|1
sysProcessCcjyTable,尺寸检验,route.sysProcessCcjyTable.title,,select|fixHeader|noResult|ellipsis|size|canExport|frozen|frozenRight,multi|true|true|true|middle|true|2|1
sysProcessJgsbTable,加工设备,route.sysProcessCcjyTable.title,,select|fixHeader|noResult|ellipsis|size|canExport|frozen|frozenRight,multi|true|true|true|middle|true|2|1
sysProcessCpTable_,CP,route.sysProcessCcjyTable.title,,select|fixHeader|noResult|ellipsis|size|canExport|frozen|frozenRight,multi|true|true|true|middle|true|2|1
sysProcessCgjyTable,常规检验,route.sysProcessCcjyTable.title,,select|fixHeader|noResult|ellipsis|size|canExport|frozen|frozenRight,multi|true|true|true|middle|true|2|1
sysProcessPfmeaTable_,PFMEA,route.sysProcessCcjyTable.title,,select|fixHeader|noResult|ellipsis|size|canExport|frozen|frozenRight,multi|true|true|true|middle|true|2|1
sysProcessPfdTable,PFD,route.sysProcessCcjyTable.title,,select|fixHeader|noResult|ellipsis|size|canExport|frozen|frozenRight,multi|true|true|true|middle|true|2|1
sysProcessGbTable,工步,route.sysProcessCcjyTable.title,,select|fixHeader|noResult|ellipsis|size|canExport|frozen|frozenRight,multi|true|true|true|middle|true|2|1
sysWorkflowModelStructureTable,模型结构,basic.common.table.sysWorkflowModelStructureTable,,canExport|isOnlyRead|wrap|total|checkStrictly|showFooter|isRowCheckable,false|true|true|false|false|false|`($origin['HASAUTH'] === true || $origin['HASAUTH']===undefined)`
sysECOTable,变更指令表格,basic.common.table.sysECNPlanTable,,frozen|frozenRight|canExpand|canLocation|process|sizeChanger,1|1|false|false|sysCellSavePerformerAction|true
sysWizardECOTable,变更指令表格(向导),basic.common.table.sysECNPlanTable,,frozen|frozenRight|canExpand|canLocation,1|1|false|false
sysECMAnnexTable,设计变更附件,basic.common.table.sysECMAnnexTable,,frozenRight,1
sysDrawApproveTable,图纸审批,basic.common.table.sysECMAnnexTable,,|total|canExport|clickAndSelected|showFooter,|false|false|true|false
sysStructureDrawApproveTable,图纸审批,basic.common.table.sysECMAnnexTable,,|total|canExport|clickAndSelected,|false|false|true
sysInsIterationTable,版序,,,select|fixHeader|noResult|ellipsis|size|canExport|frozen|frozenRight,multi|true|true|true|middle|true|2|1
sysECPTable,变更建议表格,basic.common.table.sysECNPlanTable,,frozenRight,1
sysWizardECPTable,变更建议表格（向导）,basic.common.table.sysECNPlanTable,,frozenRight,1
sysEcrFileTable,变更请求附件,basic.common.table.sysECMAnnexTable,,frozenRight,1
sysChangeNoticeTable,变更通知,basic.common.table.sysChangeNoticeTable,,frozenRight,1
sysChangeScopeTable,变更范围,basic.common.table.sysChangeScopeTable,,frozenRight|process|sizeChanger|pageSizeOptions,1|singleSaveECIAction|true|10;20;50;100;500
