Toolbar Name,Description,Label,Children,Property Key,Property Value
sysProcessFileTableToolbar,工序附件表格Toolbar(新布局),,sysProcessFileUploadCommand,align|reviseIndex,left|0
sysNewOutFileTableOptionToolbar,文件表格operation(新布局),,sysNewOutFilePreviewCommand_|sysFileDownloadCommand|sysMainFileCommand|sysFileDeleteCommand,,
sysNewOutFileTaskTableOptionToolbar,文件表格operation(新布局),,sysNewOutFilePreviewCommand_|sysTaskFileDownloadCommand|sysTaskMainFileCommand|sysTaskFileDeleteCommand,,
sysNewOutInstanceDetailFormToolbar,form详细信息(新布局),,sysNewOutInstanceDetailFormCheckInCommand|sysNewOutInstanceDetailFormCheckOutCommand|sysNewOutInstanceFormCancelCheckOutCommand|sysNewOutInstanceFormSaveCommand,,
sysNewOutInstanceSaveAsFormToolbar,form另存为(新布局),,sysNewOutInstanceFormSaveAsAfterCommand,,
sysDeleteFolderPermissionRowToolBar,删除文件夹权限表格的某行toolbar,删除,sysDeleteFolderPermissionRowCommand
sysOrganUserToolbar,用户操作toolbar,,sysOrgantUserResetCommand|sysOrgantUserSaveCommand,align|reviseIndex,right|1
sysProjectManagementToolbar,项目管理,,sysProjectManagementNewCommand|sysProjectManagementSearchCommand|sysProjectTemplateManageCommand,align|reviseIndex,right|3
sysProjectManagementOptionToolbar,操作,,sysProjectManagementStartCommand|sysProjectManagementStopCommand|sysProjectManagementPusCommand|sysProjectManagementCompleteCommand|sysProjectOptionMoreToolbar
sysProjectWbsOptionToolbar,操作,,sysTaskStartCommand|sysTaskStopCommand|sysTaskPusCommand|sysTaskCompleteCommand|sysTaskOptionMoreToolbar
sysProjectWbsFloatToolbar,任务浮动toolbar,,sysTaskBatchCopyCommand
sysProjectWbsToolbar,任务页签,,sysTaskStartProjectCommand|sysProjectWbsMoreToolbar
sysProjectWbsMoreToolbar,更多,common.toolbar.sysInstanceMoreOperationToolbar,sysTaskChangeProjectCommand|sysTaskFinishChangeProjectCommand
sysWbsTableHiddenToolbar,wbs首列隐藏操作,,sysWbsNewChildNodeCommand|sysWbsNewBrotherNodeCommand,,
sysProjectOptionMoreToolbar,更多,common.toolbar.sysInstanceMoreOperationToolbar,sysProjectManagementDeleteCommand|sysProjectManagementChangeCommand,masterStyle,link
sysTaskOptionMoreToolbar,更多,common.toolbar.sysInstanceMoreOperationToolbar,sysTaskDeleteCommand|sysTaskCopyCommand|sysTaskImportFromTempCommand,masterStyle,link
sysBatchAddAdmeaToolbar,添加子任务分配任务界面,,sysBatchAddAdmeaCancelCommand|sysBatchAddAdmeaConfirmCommand|sysBatchAddAdmeaAssignCommand,align|reviseIndex,right|0
sysProcessingEquipmentTableOptionToolbar,加工设备,,sysCommonDeleteCommand,,
sysProcessingEquipmentTableToolbar,加工设备,,sysProcessCommonAddCommand,,
sysProcessingEquipmentTableFloatToolbar,加工设备,,sysProcessBatchDeleteCommand
sysMeasuringToolTableOptionToolbar,量检具,,sysCommonDeleteCommand,,
sysMeasuringToolTableToolbar,量检具,,sysProcessCommonAddCommand,,
sysMeasuringToolTableFloatToolbar,量检具,,sysProcessBatchDeleteCommand
sysMoldFixtureTableOptionToolbar,模夹具,,sysCommonDeleteCommand,,
sysMoldFixtureTableToolbar,模夹具,,sysProcessCommonAddCommand,,
sysMoldFixtureTableFloatToolbar,模夹具,,sysProcessBatchDeleteCommand
sysCGJYTableOptionToolbar,常规检验,,sysCommonDeleteCommand,,
sysCGJYTableToolbar,常规检验,,sysProcessJYCommonAddCommand,,
sysCGJYTableFloatToolbar,常规检验,,sysProcessBatchDeleteCommand
sysCCJYTableOptionToolbar,尺寸检验,,sysCommonDeleteCommand,,
sysCCJYTableToolbar,尺寸检验,,sysProcessJYCommonAddCommand,,
sysCCJYTableFloatToolbar,尺寸检验,,sysProcessBatchDeleteCommand
sysProcessMainItemTableOptionToolbar,主料,,sysCommonDeleteCommand,,
sysProcessMainItemTableToolbar,主料,,sysProcessItemCommonAddCommand|sysCommonAddBOMCommand,,
sysMainItemTableFloatToolbar,主料,,sysProcessBatchDeleteCommand
sysSecondaryItemTableOptionToolbar,辅料,,sysCommonDeleteCommand,,
sysSecondaryItemTableToolbar,辅料,,sysProcessItemCommonAddCommand,,
